# MSlice Cut of workspace "HYS_219483_4pixel_QE"
# Cut axis: DeltaE,-10.0,8.0,0.1
# Integration axis: |Q|,1.5,2.5,0.0
# (Energy Transfer (meV)) (Signal) (Error)
5.988826816e+00 4.896043009e-04 2.545852952e-05
6.089385475e+00 3.661249085e-04 2.413697848e-05
6.189944134e+00 3.817881892e-04 2.494570371e-05
6.290502793e+00 3.615301939e-04 2.464166716e-05
6.391061453e+00 3.731550489e-04 2.463857555e-05
6.491620112e+00 3.108614835e-04 2.562683274e-05
6.592178771e+00 3.136669642e-04 2.527664982e-05
6.692737430e+00 2.846520582e-04 2.535783606e-05
6.793296089e+00 2.906864498e-04 2.566262808e-05
6.893854749e+00 2.525129424e-04 2.664771544e-05
6.994413408e+00 2.547468110e-04 2.768603602e-05
7.094972067e+00 2.340384016e-04 2.962390834e-05
7.195530726e+00 2.509134961e-04 3.068131833e-05
7.296089385e+00 2.083251435e-04 3.071978506e-05
7.396648045e+00 1.796570366e-04 3.248560654e-05
7.497206704e+00 2.594577733e-04 3.390591512e-05
7.597765363e+00 1.848842853e-04 3.570096927e-05
7.698324022e+00 2.283908017e-04 3.771922914e-05
7.798882682e+00 2.162047343e-04 4.123827093e-05
7.899441341e+00 1.552476259e-04 4.361059121e-05
8.000000000e+00 1.389620376e-04 4.654049220e-05
