sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
395	2014_42	Dy(NHPhiPr2)3(THF)2	Mixed Ligands	Dy3+	Oblate	Kramers	100	5	5	Oxygen+Nitrogen	Freq-dependent X''	NA	NA	NA	Argand	34	NA	NA	2.07e-5	NA	Pinched Hysteresis	1.9	10.1021/ja500793x	Zhang, P., Zhang, L., Wang, C., Xue, S., Lin, S.-Y. & Tang, J. 2014 Equatorially Coordinated Lanthanide Single Ion Magnets. Journal of the American Chemical Society 136, 4484–4487. (doi:10.1021/ja500793x)	2014	B	II	B	III	http://www.crystallography.net/cod/result/?doi=10.1021/ja500793x
396	2014_42	Er(NHPhiPr2)3(THF)2	Mixed Ligands	Er3+	Prolate	Kramers	100	5	5	Oxygen+Nitrogen	Freq-dependent X''	NA	NA	NA	Argand	25	NA	NA	6.44e-8	NA	Not Measured	NA	10.1021/ja500793x	Zhang, P., Zhang, L., Wang, C., Xue, S., Lin, S.-Y. & Tang, J. 2014 Equatorially Coordinated Lanthanide Single Ion Magnets. Journal of the American Chemical Society 136, 4484–4487. (doi:10.1021/ja500793x)	2014	C	II	D	III	http://www.crystallography.net/cod/result/?doi=10.1021/ja500793x
397	2014_43	Tb(BpMe)3	Other Families	Tb3+	Oblate	Non-Kramers	14	9	3	Others	Freq-dependent X''	NA	NA	NA	Argand	30.24	NA	NA	1e-6	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	II	E	IV	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
398	2014_43	Tb(BpMe)3	Other Families	Tb3+	Oblate	Non-Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	Unassigned	E	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
399	2014_43	Tb(BpMe)3	Other Families	Tb3+	Oblate	Non-Kramers	11	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	Unassigned	E	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
400	2014_43	Dy(BpMe)3	Other Families	Dy3+	Oblate	Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	Unassigned	C	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
401	2014_43	Ho(BpMe)3	Other Families	Ho3+	Oblate	Non-Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	Unassigned	E	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
402	2014_43	Er(BpMe)3	Other Families	Er3+	Prolate	Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	C	Unassigned	D	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
403	2014_43	Tb(BcMe)3	Other Families	Tb3+	Oblate	Non-Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	Argand	64.51	NA	NA	8.6e-6	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	II	E	IV	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
404	2014_43	Tb(BcMe)3	Other Families	Tb3+	Oblate	Non-Kramers	11	9	3	Others	Freq-dependent X''	NA	NA	NA	Argand	65.09	NA	NA	6.6e-6	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	II	E	IV	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
