	0 T KErSe2		0 T KLuSe2
6.5803459	3476.37857129862	4.0005082	46.195110997838
6.583701	3491.00397534293	3.0132833	19.0141514745024
6.8530797	3494.1346951278	2.0122309	3.68130945846229
6.8601806	3519.96631016302	1.8405600309374	2.95688164226989
6.8642509	3548.95550966517	1.65780033832028	2.27335361226506
7.1564981	3617.50882464705	1.49152146394435	1.68147998410869
7.1596626	3594.88882761828	1.319488	1.17118508508398
7.1619516	3566.3883377293	1.2207364	0.885733390956578
7.3854133	3647.34266558288	1.12114526181067	0.618417203379047
7.3916275	3663.20910279498	0.73957854	0.249248045877847
7.394885	3668.85228165747	0.53047051	0.127372343920582
7.663357	3714.56820206005	--	--
7.6667437	3726.88907844249	--	--
7.6693749	3725.66801884697	--	--
7.9501972	3816.56736022708	--	--
7.9534704	3807.28080283169	--	--
7.9557482	3821.66227069448	--	--
8.2283114	3925.0815450427	--	--
8.2335996	3921.75523630463	--	--
8.2368681	3924.89882028709	--	--
8.5042592	4034.23555835034	--	--
8.5083957	4027.22157564058	--	--
8.5090472	4025.70742890249	--	--
8.7925686	4156.68896677276	--	--
8.7970645	4128.4205898003	--	--
8.7980894	4157.14356842053	--	--
9.077064	4288.59724498036	--	--
9.0828429	4289.68475650525	--	--
9.0865755	4289.91363382304	--	--
9.3425549	4412.54288733205	--	--
9.3453836	4408.65478717698	--	--
9.3473645	4418.71389621177	--	--
9.6348639	4565.94318801329	--	--
9.6390112	4585.26166192779	--	--
9.6423009	4546.59891520303	--	--
9.9201371	4724.72575251617	--	--
9.9300135	4727.41300601254	--	--
9.9328743	4712.89395664502	--	--
10.194707	4865.28652479187	--	--
10.196304	4892.57994768514	--	--
10.197582	4872.62401157329	--	--
10.225277	4958.10045591132	--	--
10.234279	4940.31957507354	--	--
11.174596	5497.6381316531	--	--
11.175033	5485.87573623335	--	--
12.18274	6171.79708118087	--	--
12.18894	6316.71329423152	--	--
13.128874	6970.26145247039	--	--
13.131029	6981.10203917097	--	--
14.137712	7738.2075575906	--	--
14.138651	7699.33553516983	--	--
15.094853	8460.8951294411	--	--
15.098365	8470.91242040717	--	--
16.097872	9212.70843243863	--	--
16.098278	9212.88914037477	--	--
17.058926	9994.21037893884	--	--
17.064042	9954.16313953793	--	--
18.062512	10670.7810684509	--	--
18.065499	10721.4342777434	--	--
19.01956	11520.1617584134	--	--
19.023836	11464.2788326623	--	--
20.012386	12367.2159912655	--	--
20.013171	12260.0228210273	--	--
21.003051	13145.4417517473	--	--
21.018844	12955.666823535	--	--
21.982676	14389.3886082454	--	--
21.999447	13773.607282537	--	--
22.959007	15070.0564177949	--	--
22.973055	14567.0960448228	--	--
23.940879	15380.2427952351	--	--
23.94897	15463.6716289152	--	--
24.924969	16526.7410224906	--	--
24.932404	16664.084242555	--	--
25.905547	17465.4147311312	--	--
25.911609	17326.2611241641	--	--
26.876919	18497.2291501729	--	--
26.891732	18403.5474974286	--	--
27.835119	20323.8304902301	--	--
27.854385	19492.603472059	--	--
28.789758	21255.6494814674	--	--
28.799757	20990.7442638652	--	--
29.724402	22024.9288281547	--	--
29.735357	21714.595829926	--	--
30.662436	23064.4400378862	--	--
30.672254	22782.1863188537	--	--
31.620083	23845.0782601979	--	--
31.631392	24055.5446170943	--	--
32.613839	25351.7981526129	--	--
32.621071	24982.8152349803	--	--
33.632416	26489.6478295958	--	--
33.634519	25635.471493123	--	--
34.655375	27214.4345627404	--	--
34.661824	27533.7673393588	--	--
35.578226	29263.1557367813	--	--
35.638387	29154.3300219249	--	--
36.647167	28994.8667973764	--	--
36.651895	30503.8906226188	--	--
37.645884	29015.9366232195	--	--
37.679834	29942.9739547391	--	--
38.580066	32645.1714421413	--	--
38.637256	31363.4694350026	--	--
40.659676	35542.9769439731	--	--
40.674471	35295.2009564648	--	--
50.753164	46482.2776528187	--	--
50.820756	47309.8772883453	--	--
60.851677	58018.2229234027	--	--
60.925409	59517.5830497666	--	--
70.991181	65608.4034659685	--	--
71.009424	67481.3381662897	--	--
81.086401	72706.9283384012	--	--
81.114238	76542.8703280028	--	--
91.203396	79685.3925745298	--	--
91.217416	82047.2092205651	--	--
101.24985	84962.5269610283	--	--
101.3115	83722.447967801	--	--
111.32	89071.3784963803	--	--
111.49101	83937.6618451761	--	--
121.42052	92818.6874198884	--	--
121.49023	93944.6585155538	--	--
131.5254	95288.6176115174	--	--
131.61672	96072.3940356726	--	--
141.59948	98188.943851897	--	--
141.65788	98473.2792572523	--	--
151.67815	99682.2152603148	--	--
151.72996	101059.089654168	--	--
161.72897	102579.884822924	--	--
161.73131	102961.002754263	--	--
171.86926	104876.579921635	--	--
171.89524	103481.426373362	--	--
181.91359	107048.309761412	--	--
181.91652	106315.303512061	--	--
191.91136	107710.141426859	--	--
192.04436	108401.862825738	--	--
