	K 0.42K H//c		K 0.5K H//c		K 0.6K H//c		K 0.8K H//c		K 1K H//c		K 1.2K H//c		K 1.5K H//c		K 2K H//c		K 10K H//c		K 50K H//c 
--	--	--	--	--	--	--	--	--	--	--	--	--	--	2000	0.354074994104313	2000	0.199320622768715	22000	0.765366815564381
139.374526977539	0.042055015898598	139.336898803711	0.0405270075809075	139.374526977539	0.0296166412567234	139.336898803711	0.0361022132916941	139.173828125	0.0257771807648666	139.111099243164	0.0319663720640298	139.098571777344	0.0297402549199514	3000	0.528954862527923	3000	0.299019337727287	24000	0.834468621380854
--	--	--	--	--	--	--	--	--	--	--	--	--	--	3000	0.52903009529849	3000	0.298944892145649	24000	0.8343604391308
178.699447631836	0.0538896387680055	178.962860107422	0.0520268497036575	178.661819458008	0.0406256816402067	178.925231933594	0.04637576343726	178.862518310547	0.0354520441633556	178.787261962891	0.0410910267941351	178.900146484375	0.0382523353981344	4000	0.702270699003766	4000	0.398568374333652	26000	0.903478551003674
--	--	--	--	--	--	--	--	--	--	--	--	--	--	4000	0.702016886801716	4000	0.398873353816133	26000	0.903280629215633
218.300323486328	0.0658172006286613	218.2626953125	0.0635249052384734	218.45085144043	0.0517016849658269	218.225067138672	0.0566750640182164	218.300323486328	0.045074501357362	218.350494384766	0.0502363245526438	218.250137329102	0.0466793530921586	5000	0.873380944554132	5000	0.498374259442225	28000	0.972090500394746
--	--	--	--	--	--	--	--	--	--	--	--	--	--	5000	0.873225193601612	5000	0.498339060851511	28000	0.97211838937397
258.039184570313	0.077785184962093	257.863586425781	0.0749660506355617	257.951385498047	0.0627266881889686	257.851043701172	0.066897889659744	258.064270019531	0.0548125802158628	257.825927734375	0.0594334945848535	257.876129150391	0.0552236064488058	6000	1.04200749657571	6000	0.59761752937718	30000	1.04070908466394
--	--	--	--	--	--	--	--	--	--	--	--	--	--	6000	1.04154451702948	6000	0.597355283008027	30000	1.04036227171262
297.426849365234	0.0896343713440226	297.690246582031	0.086566292499126	297.564819335937	0.0738077693349755	297.677703857422	0.077311852473657	297.401733398438	0.0646341614745358	297.627532958984	0.0686321344726782	297.677703857422	0.0635966026492877	7000	1.20681348335474	7000	0.696327759951162	32000	1.10893756059068
--	--	--	--	--	--	--	--	--	--	--	--	--	--	7000	1.20662905623406	7000	0.696075971949218	32000	1.10874975980317
337.065338134766	0.101532142198924	336.990081787109	0.0979963573437906	337.040252685547	0.0848143538681864	337.278594970703	0.0875079865228551	337.015167236328	0.0741140666091595	337.291137695313	0.077691012075933	337.366394042969	0.0723009673266553	8000	1.3688698192023	8000	0.795221405545766	34000	1.17691942147131
--	--	--	--	--	--	--	--	--	--	--	--	--	--	8000	1.36862016785602	8000	0.79494678906486	34000	1.17687219013552
